task0,task1,task2,task3,task4
0.9995,0.0000,0.0000,0.0000,0.0000
0.4416,0.9936,0.0000,0.0000,0.0000
0.4624,0.3776,0.9989,0.0000,0.0000
0.3574,0.5196,0.4893,0.9980,0.0000
0.3102,0.2400,0.2102,0.5337,0.9950
