task0,task1,task2,task3,task4
0.9986,0.0000,0.0000,0.0000,0.0000
0.7560,0.9931,0.0000,0.0000,0.0000
0.7414,0.6072,0.9984,0.0000,0.0000
0.4979,0.6587,0.5731,0.9960,0.0000
0.5976,0.5211,0.2695,0.6123,0.9904
