task0,task1,task2,task3,task4
0.9995,0.0000,0.0000,0.0000,0.0000
0.0000,0.9951,0.0000,0.0000,0.0000
0.0000,0.0000,0.9995,0.0000,0.0000
0.0000,0.0000,0.0000,0.9990,0.0000
0.0000,0.0000,0.0000,0.0000,0.9934
