task0,task1,task2,task3,task4
0.9986,0.0000,0.0000,0.0000,0.0000
0.0000,0.9931,0.0000,0.0000,0.0000
0.0000,0.0000,0.9984,0.0000,0.0000
0.0000,0.0000,0.0000,0.9985,0.0000
0.0000,0.0000,0.0000,0.0000,0.9950
