task0,task1,task2,task3,task4
0.9991,0.0000,0.0000,0.0000,0.0000
0.0000,0.9966,0.0000,0.0000,0.0000
0.0000,0.0000,0.9989,0.0000,0.0000
0.0000,0.0000,0.0000,0.9985,0.0000
0.0000,0.0000,0.0000,0.0000,0.9934
