task0,task1,task2,task3,task4
0.9986,0.0000,0.0000,0.0000,0.0000
0.6435,0.9931,0.0000,0.0000,0.0000
0.5806,0.2850,0.9984,0.0000,0.0000
0.3768,0.3717,0.3442,0.9985,0.0000
0.3953,0.2194,0.1531,0.5554,0.9939
