task0,task1,task2,task3,task4
0.9991,0.0000,0.0000,0.0000,0.0000
0.6894,0.9853,0.0000,0.0000,0.0000
0.6024,0.3727,0.9995,0.0000,0.0000
0.4629,0.2982,0.4418,0.9985,0.0000
0.5466,0.2341,0.1547,0.2472,0.9945
