task0,task1,task2,task3,task4
0.9995,0.0000,0.0000,0.0000,0.0000
0.7910,0.9931,0.0000,0.0000,0.0000
0.6771,0.5671,0.9995,0.0000,0.0000
0.5792,0.6048,0.5309,0.9950,0.0000
0.5712,0.4099,0.3890,0.6037,0.9919
